ZONA,SESIONES ,USUARIOS UNICOS,AÑO
Parque_altavista,67304,3447,2024
parque_del_leningrado_ii,25533,751,2024
Parque_Leningrado_2,32759,1331,2024
parque_portal_de_san_joaquin,29616,992,2024
parqueadero_principal_salamanca,91235,2754,2024
por_la_biblioteca_comfamiliar_gu,23897,1152,2024
recreo_puertas_de_alcala_parque,40298,1097,2024
Colegio_san_nicolas,51971,3112,2024
parque_la_dulcera,144494,2110,2024
ZW_San_Nicolas_Fibra,27687,1752,2024
Centro_poblado_guacary,81968,775,2024
Rural_laguneta_pereira,15001,287,2024
Tribunas_Villa_Amparo,15033,321,2024
Yarumito_(Tribunas),34888,281,2024
ZW_Guacari Cantamonos,1886,114,2024
ZW_YARUMAL,9832,115,2024
El_bosque_calle_5,16797,431,2024
Iglesia_barrio_providencia,27767,2610,2024
terminal_de_transportes_nivel_ii,157561,20571,2024
travesuras_cll_16,71951,1431,2024
UTP_Cancha_de_Futbol,80435,4271,2024
UTP_Cancha_Sintetica,60576,2930,2024
UTP_La_Julita,44288,2734,2024
UTP_Media_Torta,32054,2351,2024
UTP_Modulo_de_ventas,66591,4415,2024
ZW esquina presto Pereira,7955,975,2024
ZW_Parque_los_estudiantes_UTP,9477,345,2024
6600106097_Remanso_Pereira,62223,1656,2024
Guayabal_Remanso,74668,1499,2024
Hogar_comunitario_tokio,33071,1386,2024
Las_brisas_MZ 29,127806,4333,2024
Las_brisas_mz_40,187361,2450,2024
Minas_Canceles_Rural,31935,439,2024
villasantana_intermedio,9430,1405,2024
villasantana_monserrate,33046,2068,2024
Zona_wifi_rural_San_vicente,19979,519,2024
ZW_Tokio_radio,55394,1398,2024
Cai_berlin_cra12_cll7,53960,2450,2024
parque_de_berlin,47450,1365,2024
