No,CONVENIO,OPERADOR,DEPARTAMENTO,MUNICIPIO,VEREDA,NOMBRE DE LA ZONA WIFI,DIRECCIÓN,TOTAL APS,UBICACIÓN,CAPACIDAD DE USUARIOS PERMITIDOS,VELOCIDAD DE SUBIDA,VELOCIDAD DE DESCARGA,HORARIO,SERVICIOS,GEOREFERENCIACIÓN
104,513,UNE,RISARALDA,PEREIRA,PUERTO CALDAS,PUERTO CALDAS SAN ISIDRO,PUERTO CALDAS SAN ISIDRO,2,"(4.780847, -75.916174)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.916174 4.780847)
105,513,UNE,RISARALDA,PEREIRA,SAN JOAQUIN,ALTAVISTA,PARQUE ALTAVISTA,2,"(4.794858, -75.743520)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.74352 4.794858)
106,513,UNE,RISARALDA,PEREIRA,SAN JOAQUIN,EL CARDAL (PORTALES DE BIRMANIA),CANCHAS DEL CARDAL,2,"(4.790542, -75.734822)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.734822 4.790542)
107,513,UNE,RISARALDA,PEREIRA,SAN JOAQUIN,EL RECREO,RECREO PUERTAS DE ALCALA PARQUE,2,"(4.792561, -75.741272)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.741272 4.792561)
108,513,UNE,RISARALDA,PEREIRA,SAN JOAQUIN,GUAYACANES,CASETA COMUNAL GUAYACANES,2,"(4.794548, -75.736104)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.736104 4.794548)
109,513,UNE,RISARALDA,PEREIRA,SAN JOAQUIN,LENINGRADO 2,CALLE 78B CON CARRERA 29 ESQUINA - LENINGRADO 2,2,"(4.798934, -75.736333)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.736333 4.798934)
110,513,UNE,RISARALDA,PEREIRA,SAN JOAQUIN,LENINGRADO III,PARQUE DEL LENINGRADO III,2,"(4.797391, -75.738914)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.738914 4.797391)
111,513,UNE,RISARALDA,PEREIRA,SAN JOAQUIN,PERLA DEL SUR,CANCHA PERLA DEL SUR,2,"(4.797036, -75.748487)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.748487 4.797036)
112,513,UNE,RISARALDA,PEREIRA,SAN JOAQUIN,PORTAL DE SAN JOAQUÃN,PARQUE PORTAL DE SAN JOAQUIN,2,"(4.791549, -75.738271)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.738271 4.791549)
113,513,UNE,RISARALDA,PEREIRA,SAN JOAQUIN,SALAMANCA,PARQUEADERO PRINCIPAL SALAMANCA,2,"(4.791011, -75.747239)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.747239 4.791011)
114,513,UNE,RISARALDA,PEREIRA,SAN NICOLAS,SAN NICOLAS,PARQUE LA DULCERA,2,"(4.806011, -75.703483)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.703483 4.806011)
115,513,UNE,RISARALDA,PEREIRA,SAN NICOLAS,SAN NICOLAS,COLEGIO SAN NICOLAS,2,"(4.808771, -75.704464)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.704464 4.808771)
116,513,UNE,RISARALDA,PEREIRA,TRIBUNAS CORCEGA,ZW_YARUMAL,VIA VDA. LA LOTERIA,1,"(4.723071, -75.679323)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.679323 4.723071)
117,513,UNE,RISARALDA,PEREIRA,TRIBUNAS CORCEGA,CENTRO POBLADO GUACARY,CENTRO POBLADO GUACARY,2,"(4.747214, -75.664684)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.664684 4.747214)
118,413,UNE,RISARALDA,PEREIRA,TRIBUNAS CORCEGA,TRIBUNAS CORCEGA,YARUMITO,1,"(4.767543, -75.684444)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.684444 4.767543)
